src_state,tar_geoid,src_moran,tar_moran,moran_shift
48,55029,"[ 0.01251114 -0.6174938  -0.09825658 -0.17821606 -0.0032806  -0.15283143
 -0.26291605 -0.24551504 -0.07501931  0.03095807  0.01313278 -0.1577009
 -0.09246847  0.06290683 -0.00366031 -0.03138189 -0.38757244 -0.13897751
 -0.11615275 -0.2254252   0.01677415 -0.04037008 -0.10964302 -0.16526975
 -0.00396361 -0.23483228 -0.03266686 -0.47859511 -0.02783546 -0.11612362
  0.00218595 -0.42722292 -0.38638678  0.03822844 -0.27755225 -0.27394656
 -0.06388391 -0.07606994  0.01552204 -0.07905481  0.15812067 -0.11161896
 -0.13695849  0.01698596  0.01757021  0.02895981 -0.23436415 -0.20320979
 -0.11152155 -0.02906346 -0.02295023 -0.2923624  -0.08636667 -0.20935225
 -0.01353473  0.00456059  0.02609712  0.07911425 -0.09631515 -0.00315309
 -0.1272518  -0.2276433  -0.07102693 -0.14055834 -0.18733482 -0.09795885
 -0.01783631 -0.12036987  0.31660016 -0.0237198  -0.04017177 -0.04204958
 -0.29698887 -0.44477197 -0.00717934 -0.24911255 -0.15366484 -0.24037087
 -0.21857587 -0.12100261 -0.30715315 -0.20333557 -0.51570353 -0.03602658
 -0.11179382 -0.41227393 -0.15357119 -0.02486808 -0.03355507 -0.05958241
 -0.48012507 -0.09176085 -0.16221126 -0.18242725 -0.00970115 -0.09646286
  0.02722182 -0.01675971 -0.3721083  -0.10383109  0.12016072 -0.53251159
 -0.15278188  0.02776452 -0.04986681 -0.14588346 -0.33789883 -0.03894621
 -0.22780958 -0.13365967 -0.03839067  0.03873496 -0.46057803 -0.34513281
 -0.22866402 -0.12246669 -0.60000605 -0.09545292 -0.29829298 -0.09451365
 -0.45900016 -0.30056666  0.00718361 -0.0697013   0.00316448 -0.00821745
 -0.05303331 -0.08288511  0.03288491 -0.23098558 -0.16109646 -0.2821466
  0.01922049 -0.21873744 -0.00853026 -0.06864677 -0.11059902 -0.1581436
 -0.11744511 -0.01440914 -0.1103761  -0.01502674 -0.33902444 -0.25650525
 -0.014651   -0.06895474 -0.06206903 -0.17458877 -0.20436921 -0.25932692]",[-0.24618311],-0.7399675835955052
48,55031,"[ 0.01251114 -0.6174938  -0.09825658 -0.17821606 -0.0032806  -0.15283143
 -0.26291605 -0.24551504 -0.07501931  0.03095807  0.01313278 -0.1577009
 -0.09246847  0.06290683 -0.00366031 -0.03138189 -0.38757244 -0.13897751
 -0.11615275 -0.2254252   0.01677415 -0.04037008 -0.10964302 -0.16526975
 -0.00396361 -0.23483228 -0.03266686 -0.47859511 -0.02783546 -0.11612362
  0.00218595 -0.42722292 -0.38638678  0.03822844 -0.27755225 -0.27394656
 -0.06388391 -0.07606994  0.01552204 -0.07905481  0.15812067 -0.11161896
 -0.13695849  0.01698596  0.01757021  0.02895981 -0.23436415 -0.20320979
 -0.11152155 -0.02906346 -0.02295023 -0.2923624  -0.08636667 -0.20935225
 -0.01353473  0.00456059  0.02609712  0.07911425 -0.09631515 -0.00315309
 -0.1272518  -0.2276433  -0.07102693 -0.14055834 -0.18733482 -0.09795885
 -0.01783631 -0.12036987  0.31660016 -0.0237198  -0.04017177 -0.04204958
 -0.29698887 -0.44477197 -0.00717934 -0.24911255 -0.15366484 -0.24037087
 -0.21857587 -0.12100261 -0.30715315 -0.20333557 -0.51570353 -0.03602658
 -0.11179382 -0.41227393 -0.15357119 -0.02486808 -0.03355507 -0.05958241
 -0.48012507 -0.09176085 -0.16221126 -0.18242725 -0.00970115 -0.09646286
  0.02722182 -0.01675971 -0.3721083  -0.10383109  0.12016072 -0.53251159
 -0.15278188  0.02776452 -0.04986681 -0.14588346 -0.33789883 -0.03894621
 -0.22780958 -0.13365967 -0.03839067  0.03873496 -0.46057803 -0.34513281
 -0.22866402 -0.12246669 -0.60000605 -0.09545292 -0.29829298 -0.09451365
 -0.45900016 -0.30056666  0.00718361 -0.0697013   0.00316448 -0.00821745
 -0.05303331 -0.08288511  0.03288491 -0.23098558 -0.16109646 -0.2821466
  0.01922049 -0.21873744 -0.00853026 -0.06864677 -0.11059902 -0.1581436
 -0.11744511 -0.01440914 -0.1103761  -0.01502674 -0.33902444 -0.25650525
 -0.014651   -0.06895474 -0.06206903 -0.17458877 -0.20436921 -0.25932692]",[-0.11175675],0.1397764499053505
48,55033,"[ 0.01251114 -0.6174938  -0.09825658 -0.17821606 -0.0032806  -0.15283143
 -0.26291605 -0.24551504 -0.07501931  0.03095807  0.01313278 -0.1577009
 -0.09246847  0.06290683 -0.00366031 -0.03138189 -0.38757244 -0.13897751
 -0.11615275 -0.2254252   0.01677415 -0.04037008 -0.10964302 -0.16526975
 -0.00396361 -0.23483228 -0.03266686 -0.47859511 -0.02783546 -0.11612362
  0.00218595 -0.42722292 -0.38638678  0.03822844 -0.27755225 -0.27394656
 -0.06388391 -0.07606994  0.01552204 -0.07905481  0.15812067 -0.11161896
 -0.13695849  0.01698596  0.01757021  0.02895981 -0.23436415 -0.20320979
 -0.11152155 -0.02906346 -0.02295023 -0.2923624  -0.08636667 -0.20935225
 -0.01353473  0.00456059  0.02609712  0.07911425 -0.09631515 -0.00315309
 -0.1272518  -0.2276433  -0.07102693 -0.14055834 -0.18733482 -0.09795885
 -0.01783631 -0.12036987  0.31660016 -0.0237198  -0.04017177 -0.04204958
 -0.29698887 -0.44477197 -0.00717934 -0.24911255 -0.15366484 -0.24037087
 -0.21857587 -0.12100261 -0.30715315 -0.20333557 -0.51570353 -0.03602658
 -0.11179382 -0.41227393 -0.15357119 -0.02486808 -0.03355507 -0.05958241
 -0.48012507 -0.09176085 -0.16221126 -0.18242725 -0.00970115 -0.09646286
  0.02722182 -0.01675971 -0.3721083  -0.10383109  0.12016072 -0.53251159
 -0.15278188  0.02776452 -0.04986681 -0.14588346 -0.33789883 -0.03894621
 -0.22780958 -0.13365967 -0.03839067  0.03873496 -0.46057803 -0.34513281
 -0.22866402 -0.12246669 -0.60000605 -0.09545292 -0.29829298 -0.09451365
 -0.45900016 -0.30056666  0.00718361 -0.0697013   0.00316448 -0.00821745
 -0.05303331 -0.08288511  0.03288491 -0.23098558 -0.16109646 -0.2821466
  0.01922049 -0.21873744 -0.00853026 -0.06864677 -0.11059902 -0.1581436
 -0.11744511 -0.01440914 -0.1103761  -0.01502674 -0.33902444 -0.25650525
 -0.014651   -0.06895474 -0.06206903 -0.17458877 -0.20436921 -0.25932692]",[-0.07092273],0.40701184420135883
48,55035,"[ 0.01251114 -0.6174938  -0.09825658 -0.17821606 -0.0032806  -0.15283143
 -0.26291605 -0.24551504 -0.07501931  0.03095807  0.01313278 -0.1577009
 -0.09246847  0.06290683 -0.00366031 -0.03138189 -0.38757244 -0.13897751
 -0.11615275 -0.2254252   0.01677415 -0.04037008 -0.10964302 -0.16526975
 -0.00396361 -0.23483228 -0.03266686 -0.47859511 -0.02783546 -0.11612362
  0.00218595 -0.42722292 -0.38638678  0.03822844 -0.27755225 -0.27394656
 -0.06388391 -0.07606994  0.01552204 -0.07905481  0.15812067 -0.11161896
 -0.13695849  0.01698596  0.01757021  0.02895981 -0.23436415 -0.20320979
 -0.11152155 -0.02906346 -0.02295023 -0.2923624  -0.08636667 -0.20935225
 -0.01353473  0.00456059  0.02609712  0.07911425 -0.09631515 -0.00315309
 -0.1272518  -0.2276433  -0.07102693 -0.14055834 -0.18733482 -0.09795885
 -0.01783631 -0.12036987  0.31660016 -0.0237198  -0.04017177 -0.04204958
 -0.29698887 -0.44477197 -0.00717934 -0.24911255 -0.15366484 -0.24037087
 -0.21857587 -0.12100261 -0.30715315 -0.20333557 -0.51570353 -0.03602658
 -0.11179382 -0.41227393 -0.15357119 -0.02486808 -0.03355507 -0.05958241
 -0.48012507 -0.09176085 -0.16221126 -0.18242725 -0.00970115 -0.09646286
  0.02722182 -0.01675971 -0.3721083  -0.10383109  0.12016072 -0.53251159
 -0.15278188  0.02776452 -0.04986681 -0.14588346 -0.33789883 -0.03894621
 -0.22780958 -0.13365967 -0.03839067  0.03873496 -0.46057803 -0.34513281
 -0.22866402 -0.12246669 -0.60000605 -0.09545292 -0.29829298 -0.09451365
 -0.45900016 -0.30056666  0.00718361 -0.0697013   0.00316448 -0.00821745
 -0.05303331 -0.08288511  0.03288491 -0.23098558 -0.16109646 -0.2821466
  0.01922049 -0.21873744 -0.00853026 -0.06864677 -0.11059902 -0.1581436
 -0.11744511 -0.01440914 -0.1103761  -0.01502674 -0.33902444 -0.25650525
 -0.014651   -0.06895474 -0.06206903 -0.17458877 -0.20436921 -0.25932692]",[-0.04521572],0.5752496152626893
48,55039,"[ 0.01251114 -0.6174938  -0.09825658 -0.17821606 -0.0032806  -0.15283143
 -0.26291605 -0.24551504 -0.07501931  0.03095807  0.01313278 -0.1577009
 -0.09246847  0.06290683 -0.00366031 -0.03138189 -0.38757244 -0.13897751
 -0.11615275 -0.2254252   0.01677415 -0.04037008 -0.10964302 -0.16526975
 -0.00396361 -0.23483228 -0.03266686 -0.47859511 -0.02783546 -0.11612362
  0.00218595 -0.42722292 -0.38638678  0.03822844 -0.27755225 -0.27394656
 -0.06388391 -0.07606994  0.01552204 -0.07905481  0.15812067 -0.11161896
 -0.13695849  0.01698596  0.01757021  0.02895981 -0.23436415 -0.20320979
 -0.11152155 -0.02906346 -0.02295023 -0.2923624  -0.08636667 -0.20935225
 -0.01353473  0.00456059  0.02609712  0.07911425 -0.09631515 -0.00315309
 -0.1272518  -0.2276433  -0.07102693 -0.14055834 -0.18733482 -0.09795885
 -0.01783631 -0.12036987  0.31660016 -0.0237198  -0.04017177 -0.04204958
 -0.29698887 -0.44477197 -0.00717934 -0.24911255 -0.15366484 -0.24037087
 -0.21857587 -0.12100261 -0.30715315 -0.20333557 -0.51570353 -0.03602658
 -0.11179382 -0.41227393 -0.15357119 -0.02486808 -0.03355507 -0.05958241
 -0.48012507 -0.09176085 -0.16221126 -0.18242725 -0.00970115 -0.09646286
  0.02722182 -0.01675971 -0.3721083  -0.10383109  0.12016072 -0.53251159
 -0.15278188  0.02776452 -0.04986681 -0.14588346 -0.33789883 -0.03894621
 -0.22780958 -0.13365967 -0.03839067  0.03873496 -0.46057803 -0.34513281
 -0.22866402 -0.12246669 -0.60000605 -0.09545292 -0.29829298 -0.09451365
 -0.45900016 -0.30056666  0.00718361 -0.0697013   0.00316448 -0.00821745
 -0.05303331 -0.08288511  0.03288491 -0.23098558 -0.16109646 -0.2821466
  0.01922049 -0.21873744 -0.00853026 -0.06864677 -0.11059902 -0.1581436
 -0.11744511 -0.01440914 -0.1103761  -0.01502674 -0.33902444 -0.25650525
 -0.014651   -0.06895474 -0.06206903 -0.17458877 -0.20436921 -0.25932692]",[-0.01035152],0.803415957026105
48,55041,"[ 0.01251114 -0.6174938  -0.09825658 -0.17821606 -0.0032806  -0.15283143
 -0.26291605 -0.24551504 -0.07501931  0.03095807  0.01313278 -0.1577009
 -0.09246847  0.06290683 -0.00366031 -0.03138189 -0.38757244 -0.13897751
 -0.11615275 -0.2254252   0.01677415 -0.04037008 -0.10964302 -0.16526975
 -0.00396361 -0.23483228 -0.03266686 -0.47859511 -0.02783546 -0.11612362
  0.00218595 -0.42722292 -0.38638678  0.03822844 -0.27755225 -0.27394656
 -0.06388391 -0.07606994  0.01552204 -0.07905481  0.15812067 -0.11161896
 -0.13695849  0.01698596  0.01757021  0.02895981 -0.23436415 -0.20320979
 -0.11152155 -0.02906346 -0.02295023 -0.2923624  -0.08636667 -0.20935225
 -0.01353473  0.00456059  0.02609712  0.07911425 -0.09631515 -0.00315309
 -0.1272518  -0.2276433  -0.07102693 -0.14055834 -0.18733482 -0.09795885
 -0.01783631 -0.12036987  0.31660016 -0.0237198  -0.04017177 -0.04204958
 -0.29698887 -0.44477197 -0.00717934 -0.24911255 -0.15366484 -0.24037087
 -0.21857587 -0.12100261 -0.30715315 -0.20333557 -0.51570353 -0.03602658
 -0.11179382 -0.41227393 -0.15357119 -0.02486808 -0.03355507 -0.05958241
 -0.48012507 -0.09176085 -0.16221126 -0.18242725 -0.00970115 -0.09646286
  0.02722182 -0.01675971 -0.3721083  -0.10383109  0.12016072 -0.53251159
 -0.15278188  0.02776452 -0.04986681 -0.14588346 -0.33789883 -0.03894621
 -0.22780958 -0.13365967 -0.03839067  0.03873496 -0.46057803 -0.34513281
 -0.22866402 -0.12246669 -0.60000605 -0.09545292 -0.29829298 -0.09451365
 -0.45900016 -0.30056666  0.00718361 -0.0697013   0.00316448 -0.00821745
 -0.05303331 -0.08288511  0.03288491 -0.23098558 -0.16109646 -0.2821466
  0.01922049 -0.21873744 -0.00853026 -0.06864677 -0.11059902 -0.1581436
 -0.11744511 -0.01440914 -0.1103761  -0.01502674 -0.33902444 -0.25650525
 -0.014651   -0.06895474 -0.06206903 -0.17458877 -0.20436921 -0.25932692]",[-0.2746522],-0.9262815503429404
48,55043,"[ 0.01251114 -0.6174938  -0.09825658 -0.17821606 -0.0032806  -0.15283143
 -0.26291605 -0.24551504 -0.07501931  0.03095807  0.01313278 -0.1577009
 -0.09246847  0.06290683 -0.00366031 -0.03138189 -0.38757244 -0.13897751
 -0.11615275 -0.2254252   0.01677415 -0.04037008 -0.10964302 -0.16526975
 -0.00396361 -0.23483228 -0.03266686 -0.47859511 -0.02783546 -0.11612362
  0.00218595 -0.42722292 -0.38638678  0.03822844 -0.27755225 -0.27394656
 -0.06388391 -0.07606994  0.01552204 -0.07905481  0.15812067 -0.11161896
 -0.13695849  0.01698596  0.01757021  0.02895981 -0.23436415 -0.20320979
 -0.11152155 -0.02906346 -0.02295023 -0.2923624  -0.08636667 -0.20935225
 -0.01353473  0.00456059  0.02609712  0.07911425 -0.09631515 -0.00315309
 -0.1272518  -0.2276433  -0.07102693 -0.14055834 -0.18733482 -0.09795885
 -0.01783631 -0.12036987  0.31660016 -0.0237198  -0.04017177 -0.04204958
 -0.29698887 -0.44477197 -0.00717934 -0.24911255 -0.15366484 -0.24037087
 -0.21857587 -0.12100261 -0.30715315 -0.20333557 -0.51570353 -0.03602658
 -0.11179382 -0.41227393 -0.15357119 -0.02486808 -0.03355507 -0.05958241
 -0.48012507 -0.09176085 -0.16221126 -0.18242725 -0.00970115 -0.09646286
  0.02722182 -0.01675971 -0.3721083  -0.10383109  0.12016072 -0.53251159
 -0.15278188  0.02776452 -0.04986681 -0.14588346 -0.33789883 -0.03894621
 -0.22780958 -0.13365967 -0.03839067  0.03873496 -0.46057803 -0.34513281
 -0.22866402 -0.12246669 -0.60000605 -0.09545292 -0.29829298 -0.09451365
 -0.45900016 -0.30056666  0.00718361 -0.0697013   0.00316448 -0.00821745
 -0.05303331 -0.08288511  0.03288491 -0.23098558 -0.16109646 -0.2821466
  0.01922049 -0.21873744 -0.00853026 -0.06864677 -0.11059902 -0.1581436
 -0.11744511 -0.01440914 -0.1103761  -0.01502674 -0.33902444 -0.25650525
 -0.014651   -0.06895474 -0.06206903 -0.17458877 -0.20436921 -0.25932692]",[-0.13398273],-0.005679933790584246
48,55045,"[ 0.01251114 -0.6174938  -0.09825658 -0.17821606 -0.0032806  -0.15283143
 -0.26291605 -0.24551504 -0.07501931  0.03095807  0.01313278 -0.1577009
 -0.09246847  0.06290683 -0.00366031 -0.03138189 -0.38757244 -0.13897751
 -0.11615275 -0.2254252   0.01677415 -0.04037008 -0.10964302 -0.16526975
 -0.00396361 -0.23483228 -0.03266686 -0.47859511 -0.02783546 -0.11612362
  0.00218595 -0.42722292 -0.38638678  0.03822844 -0.27755225 -0.27394656
 -0.06388391 -0.07606994  0.01552204 -0.07905481  0.15812067 -0.11161896
 -0.13695849  0.01698596  0.01757021  0.02895981 -0.23436415 -0.20320979
 -0.11152155 -0.02906346 -0.02295023 -0.2923624  -0.08636667 -0.20935225
 -0.01353473  0.00456059  0.02609712  0.07911425 -0.09631515 -0.00315309
 -0.1272518  -0.2276433  -0.07102693 -0.14055834 -0.18733482 -0.09795885
 -0.01783631 -0.12036987  0.31660016 -0.0237198  -0.04017177 -0.04204958
 -0.29698887 -0.44477197 -0.00717934 -0.24911255 -0.15366484 -0.24037087
 -0.21857587 -0.12100261 -0.30715315 -0.20333557 -0.51570353 -0.03602658
 -0.11179382 -0.41227393 -0.15357119 -0.02486808 -0.03355507 -0.05958241
 -0.48012507 -0.09176085 -0.16221126 -0.18242725 -0.00970115 -0.09646286
  0.02722182 -0.01675971 -0.3721083  -0.10383109  0.12016072 -0.53251159
 -0.15278188  0.02776452 -0.04986681 -0.14588346 -0.33789883 -0.03894621
 -0.22780958 -0.13365967 -0.03839067  0.03873496 -0.46057803 -0.34513281
 -0.22866402 -0.12246669 -0.60000605 -0.09545292 -0.29829298 -0.09451365
 -0.45900016 -0.30056666  0.00718361 -0.0697013   0.00316448 -0.00821745
 -0.05303331 -0.08288511  0.03288491 -0.23098558 -0.16109646 -0.2821466
  0.01922049 -0.21873744 -0.00853026 -0.06864677 -0.11059902 -0.1581436
 -0.11744511 -0.01440914 -0.1103761  -0.01502674 -0.33902444 -0.25650525
 -0.014651   -0.06895474 -0.06206903 -0.17458877 -0.20436921 -0.25932692]",[-0.06721239],0.43129392416729745
48,55047,"[ 0.01251114 -0.6174938  -0.09825658 -0.17821606 -0.0032806  -0.15283143
 -0.26291605 -0.24551504 -0.07501931  0.03095807  0.01313278 -0.1577009
 -0.09246847  0.06290683 -0.00366031 -0.03138189 -0.38757244 -0.13897751
 -0.11615275 -0.2254252   0.01677415 -0.04037008 -0.10964302 -0.16526975
 -0.00396361 -0.23483228 -0.03266686 -0.47859511 -0.02783546 -0.11612362
  0.00218595 -0.42722292 -0.38638678  0.03822844 -0.27755225 -0.27394656
 -0.06388391 -0.07606994  0.01552204 -0.07905481  0.15812067 -0.11161896
 -0.13695849  0.01698596  0.01757021  0.02895981 -0.23436415 -0.20320979
 -0.11152155 -0.02906346 -0.02295023 -0.2923624  -0.08636667 -0.20935225
 -0.01353473  0.00456059  0.02609712  0.07911425 -0.09631515 -0.00315309
 -0.1272518  -0.2276433  -0.07102693 -0.14055834 -0.18733482 -0.09795885
 -0.01783631 -0.12036987  0.31660016 -0.0237198  -0.04017177 -0.04204958
 -0.29698887 -0.44477197 -0.00717934 -0.24911255 -0.15366484 -0.24037087
 -0.21857587 -0.12100261 -0.30715315 -0.20333557 -0.51570353 -0.03602658
 -0.11179382 -0.41227393 -0.15357119 -0.02486808 -0.03355507 -0.05958241
 -0.48012507 -0.09176085 -0.16221126 -0.18242725 -0.00970115 -0.09646286
  0.02722182 -0.01675971 -0.3721083  -0.10383109  0.12016072 -0.53251159
 -0.15278188  0.02776452 -0.04986681 -0.14588346 -0.33789883 -0.03894621
 -0.22780958 -0.13365967 -0.03839067  0.03873496 -0.46057803 -0.34513281
 -0.22866402 -0.12246669 -0.60000605 -0.09545292 -0.29829298 -0.09451365
 -0.45900016 -0.30056666  0.00718361 -0.0697013   0.00316448 -0.00821745
 -0.05303331 -0.08288511  0.03288491 -0.23098558 -0.16109646 -0.2821466
  0.01922049 -0.21873744 -0.00853026 -0.06864677 -0.11059902 -0.1581436
 -0.11744511 -0.01440914 -0.1103761  -0.01502674 -0.33902444 -0.25650525
 -0.014651   -0.06895474 -0.06206903 -0.17458877 -0.20436921 -0.25932692]",[-0.15437885],-0.13916092847929415
48,55049,"[ 0.01251114 -0.6174938  -0.09825658 -0.17821606 -0.0032806  -0.15283143
 -0.26291605 -0.24551504 -0.07501931  0.03095807  0.01313278 -0.1577009
 -0.09246847  0.06290683 -0.00366031 -0.03138189 -0.38757244 -0.13897751
 -0.11615275 -0.2254252   0.01677415 -0.04037008 -0.10964302 -0.16526975
 -0.00396361 -0.23483228 -0.03266686 -0.47859511 -0.02783546 -0.11612362
  0.00218595 -0.42722292 -0.38638678  0.03822844 -0.27755225 -0.27394656
 -0.06388391 -0.07606994  0.01552204 -0.07905481  0.15812067 -0.11161896
 -0.13695849  0.01698596  0.01757021  0.02895981 -0.23436415 -0.20320979
 -0.11152155 -0.02906346 -0.02295023 -0.2923624  -0.08636667 -0.20935225
 -0.01353473  0.00456059  0.02609712  0.07911425 -0.09631515 -0.00315309
 -0.1272518  -0.2276433  -0.07102693 -0.14055834 -0.18733482 -0.09795885
 -0.01783631 -0.12036987  0.31660016 -0.0237198  -0.04017177 -0.04204958
 -0.29698887 -0.44477197 -0.00717934 -0.24911255 -0.15366484 -0.24037087
 -0.21857587 -0.12100261 -0.30715315 -0.20333557 -0.51570353 -0.03602658
 -0.11179382 -0.41227393 -0.15357119 -0.02486808 -0.03355507 -0.05958241
 -0.48012507 -0.09176085 -0.16221126 -0.18242725 -0.00970115 -0.09646286
  0.02722182 -0.01675971 -0.3721083  -0.10383109  0.12016072 -0.53251159
 -0.15278188  0.02776452 -0.04986681 -0.14588346 -0.33789883 -0.03894621
 -0.22780958 -0.13365967 -0.03839067  0.03873496 -0.46057803 -0.34513281
 -0.22866402 -0.12246669 -0.60000605 -0.09545292 -0.29829298 -0.09451365
 -0.45900016 -0.30056666  0.00718361 -0.0697013   0.00316448 -0.00821745
 -0.05303331 -0.08288511  0.03288491 -0.23098558 -0.16109646 -0.2821466
  0.01922049 -0.21873744 -0.00853026 -0.06864677 -0.11059902 -0.1581436
 -0.11744511 -0.01440914 -0.1103761  -0.01502674 -0.33902444 -0.25650525
 -0.014651   -0.06895474 -0.06206903 -0.17458877 -0.20436921 -0.25932692]",[-0.09923452],0.22172728238335387
48,55053,"[ 0.01251114 -0.6174938  -0.09825658 -0.17821606 -0.0032806  -0.15283143
 -0.26291605 -0.24551504 -0.07501931  0.03095807  0.01313278 -0.1577009
 -0.09246847  0.06290683 -0.00366031 -0.03138189 -0.38757244 -0.13897751
 -0.11615275 -0.2254252   0.01677415 -0.04037008 -0.10964302 -0.16526975
 -0.00396361 -0.23483228 -0.03266686 -0.47859511 -0.02783546 -0.11612362
  0.00218595 -0.42722292 -0.38638678  0.03822844 -0.27755225 -0.27394656
 -0.06388391 -0.07606994  0.01552204 -0.07905481  0.15812067 -0.11161896
 -0.13695849  0.01698596  0.01757021  0.02895981 -0.23436415 -0.20320979
 -0.11152155 -0.02906346 -0.02295023 -0.2923624  -0.08636667 -0.20935225
 -0.01353473  0.00456059  0.02609712  0.07911425 -0.09631515 -0.00315309
 -0.1272518  -0.2276433  -0.07102693 -0.14055834 -0.18733482 -0.09795885
 -0.01783631 -0.12036987  0.31660016 -0.0237198  -0.04017177 -0.04204958
 -0.29698887 -0.44477197 -0.00717934 -0.24911255 -0.15366484 -0.24037087
 -0.21857587 -0.12100261 -0.30715315 -0.20333557 -0.51570353 -0.03602658
 -0.11179382 -0.41227393 -0.15357119 -0.02486808 -0.03355507 -0.05958241
 -0.48012507 -0.09176085 -0.16221126 -0.18242725 -0.00970115 -0.09646286
  0.02722182 -0.01675971 -0.3721083  -0.10383109  0.12016072 -0.53251159
 -0.15278188  0.02776452 -0.04986681 -0.14588346 -0.33789883 -0.03894621
 -0.22780958 -0.13365967 -0.03839067  0.03873496 -0.46057803 -0.34513281
 -0.22866402 -0.12246669 -0.60000605 -0.09545292 -0.29829298 -0.09451365
 -0.45900016 -0.30056666  0.00718361 -0.0697013   0.00316448 -0.00821745
 -0.05303331 -0.08288511  0.03288491 -0.23098558 -0.16109646 -0.2821466
  0.01922049 -0.21873744 -0.00853026 -0.06864677 -0.11059902 -0.1581436
 -0.11744511 -0.01440914 -0.1103761  -0.01502674 -0.33902444 -0.25650525
 -0.014651   -0.06895474 -0.06206903 -0.17458877 -0.20436921 -0.25932692]",[-0.2625858],-0.8473137987501371
48,55055,"[ 0.01251114 -0.6174938  -0.09825658 -0.17821606 -0.0032806  -0.15283143
 -0.26291605 -0.24551504 -0.07501931  0.03095807  0.01313278 -0.1577009
 -0.09246847  0.06290683 -0.00366031 -0.03138189 -0.38757244 -0.13897751
 -0.11615275 -0.2254252   0.01677415 -0.04037008 -0.10964302 -0.16526975
 -0.00396361 -0.23483228 -0.03266686 -0.47859511 -0.02783546 -0.11612362
  0.00218595 -0.42722292 -0.38638678  0.03822844 -0.27755225 -0.27394656
 -0.06388391 -0.07606994  0.01552204 -0.07905481  0.15812067 -0.11161896
 -0.13695849  0.01698596  0.01757021  0.02895981 -0.23436415 -0.20320979
 -0.11152155 -0.02906346 -0.02295023 -0.2923624  -0.08636667 -0.20935225
 -0.01353473  0.00456059  0.02609712  0.07911425 -0.09631515 -0.00315309
 -0.1272518  -0.2276433  -0.07102693 -0.14055834 -0.18733482 -0.09795885
 -0.01783631 -0.12036987  0.31660016 -0.0237198  -0.04017177 -0.04204958
 -0.29698887 -0.44477197 -0.00717934 -0.24911255 -0.15366484 -0.24037087
 -0.21857587 -0.12100261 -0.30715315 -0.20333557 -0.51570353 -0.03602658
 -0.11179382 -0.41227393 -0.15357119 -0.02486808 -0.03355507 -0.05958241
 -0.48012507 -0.09176085 -0.16221126 -0.18242725 -0.00970115 -0.09646286
  0.02722182 -0.01675971 -0.3721083  -0.10383109  0.12016072 -0.53251159
 -0.15278188  0.02776452 -0.04986681 -0.14588346 -0.33789883 -0.03894621
 -0.22780958 -0.13365967 -0.03839067  0.03873496 -0.46057803 -0.34513281
 -0.22866402 -0.12246669 -0.60000605 -0.09545292 -0.29829298 -0.09451365
 -0.45900016 -0.30056666  0.00718361 -0.0697013   0.00316448 -0.00821745
 -0.05303331 -0.08288511  0.03288491 -0.23098558 -0.16109646 -0.2821466
  0.01922049 -0.21873744 -0.00853026 -0.06864677 -0.11059902 -0.1581436
 -0.11744511 -0.01440914 -0.1103761  -0.01502674 -0.33902444 -0.25650525
 -0.014651   -0.06895474 -0.06206903 -0.17458877 -0.20436921 -0.25932692]",[-0.08347951],0.3248348557577742
